order_id,customer_id,order_date,product_category,amount
1001,C157,2025-03-24,Fashion,193.52
1002,C228,2025-03-24,Toys,475.85
1003,C054,2025-02-28,Toys,368.68
1004,C257,2025-03-20,Fashion,303.34
1005,C057,2025-02-05,Home,86.45
1006,C426,2025-02-19,Sports,86.44
1007,C052,2025-01-06,Home,38.46
1008,C188,2025-02-20,Fashion,434.43
1009,C405,2025-02-21,Accessories,304.55
1010,C417,2025-04-25,Sports,356.96
1011,C094,2025-03-15,Sports,20.09
1012,C318,2025-01-12,Fashion,485.26
1013,C481,2025-03-09,Sports,417.9
1014,C336,2025-03-10,Accessories,114.05
1015,C206,2025-01-13,Fashion,99.09
1016,C125,2025-03-09,Electronics,99.87
1017,C237,2025-02-24,Home,159.08
1018,C055,2025-01-03,Sports,267.13
1019,C372,2025-04-01,Fashion,221.65
1020,C442,2025-01-14,Home,152.7
1021,C011,2025-04-14,Fashion,309.81
1022,C098,2025-04-16,Fashion,78.35
1023,C419,2025-02-03,Home,153.15
1024,C133,2025-04-21,Home,189.52
1025,C098,2025-03-06,Toys,233.47
1026,C041,2025-04-18,Books,394.74
1027,C334,2025-04-21,Sports,107.84
1028,C182,2025-03-07,Fashion,261.97
1029,C316,2025-03-04,Electronics,300.28
1030,C341,2025-03-29,Electronics,32.76
1031,C463,2025-02-26,Electronics,307.7
1032,C022,2025-04-01,Electronics,93.56
1033,C224,2025-02-18,Sports,41.88
1034,C487,2025-01-03,Books,474.95
1035,C044,2025-04-16,Accessories,483.16
1036,C256,2025-04-30,Books,406.11
1037,C388,2025-01-25,Electronics,159.26
1038,C348,2025-04-21,Accessories,57.86
1039,C414,2025-01-12,Home,345.27
1040,C131,2025-03-31,Electronics,225.67
1041,C274,2025-01-04,Books,69.8
1042,C349,2025-02-05,Accessories,252.64
1043,C473,2025-03-18,Toys,26.85
1044,C198,2025-03-30,Electronics,455.57
1045,C209,2025-01-04,Toys,136.8
1046,C325,2025-03-02,Electronics,334.64
1047,C357,2025-03-22,Home,162.74
1048,C183,2025-01-24,Accessories,264.83
1049,C384,2025-03-06,Books,277.89
1050,C184,2025-04-18,Books,100.58
1051,C154,2025-04-19,Home,485.1
1052,C074,2025-02-12,Fashion,389.82
1053,C224,2025-04-06,Fashion,470.35
1054,C410,2025-02-01,Sports,448.47
1055,C091,2025-02-25,Toys,302.97
1056,C304,2025-01-29,Accessories,461.72
1057,C359,2025-02-22,Accessories,53.36
1058,C320,2025-04-10,Home,106.03
1059,C298,2025-02-24,Electronics,32.16
1060,C398,2025-02-12,Home,169.41
1061,C293,2025-04-02,Sports,200.45
1062,C227,2025-01-13,Accessories,142.96
1063,C066,2025-04-22,Fashion,416.08
1064,C126,2025-04-12,Books,184.81
1065,C300,2025-01-31,Accessories,147.66
1066,C099,2025-01-26,Books,275.92
1067,C089,2025-03-13,Electronics,79.05
1068,C083,2025-01-22,Books,403.08
1069,C418,2025-03-01,Home,46.53
1070,C010,2025-01-30,Accessories,493.57
1071,C270,2025-04-18,Sports,388.4
1072,C440,2025-03-09,Books,107.37
1073,C056,2025-03-28,Electronics,12.71
1074,C141,2025-01-19,Fashion,409.58
1075,C426,2025-03-25,Accessories,356.36
1076,C243,2025-03-21,Sports,367.21
1077,C412,2025-03-18,Sports,387.92
1078,C186,2025-03-07,Sports,46.28
1079,C312,2025-01-14,Sports,185.65
1080,C076,2025-04-19,Electronics,66.78
1081,C448,2025-02-14,Accessories,432.92
1082,C013,2025-04-01,Home,315.42
1083,C367,2025-04-13,Sports,172.14
1084,C170,2025-02-19,Home,41.14
1085,C215,2025-01-10,Home,162.38
1086,C032,2025-03-06,Accessories,169.34
1087,C101,2025-03-17,Electronics,367.51
1088,C070,2025-04-05,Accessories,322.4
1089,C048,2025-01-28,Fashion,444.73
1090,C326,2025-01-12,Accessories,241.39
